Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0278,33.9757,Invalid
TST-0006,19.0172,Valid
TST-0047,54.983,Valid
TST-0311,25.6558,Valid
TST-0264,18.2864,Invalid
TST-0169,19.7512,Valid
TST-0269,18.3978,Valid
TST-0178,14.7398,Invalid
TST-0206,31.8275,Valid
TST-0038,18.3727,Valid
TST-0213,14.523,Invalid
TST-0309,16.1911,Valid
TST-0059,32.6914,Valid
TST-0159,18.4504,Valid
TST-0235,19.8687,Valid
TST-0230,20.9221,Valid
TST-0323,37.002,Valid
TST-0262,18.5991,Valid
TST-0274,14.1786,Valid
TST-0214,48.3166,Valid
TST-0024,39.6062,Valid
TST-0234,17.7395,Valid
TST-0333,21.8984,Valid
TST-0060,20.1791,Valid
TST-0226,36.1448,Valid
TST-0197,16.1237,Valid
TST-0346,42.1599,Valid
TST-0192,25.0259,Valid
TST-0141,29.7998,Valid
TST-0222,37.9273,Invalid
TST-0232,19.6382,Valid
TST-0085,23.438,Valid
TST-0237,32.9703,Valid
TST-0001,39.2204,Valid
TST-0069,16.3958,Valid
TST-0272,22.8477,Valid
TST-0343,34.0599,Valid
TST-0320,26.4228,Valid
TST-0008,30.8398,Invalid
TST-0144,22.9459,Valid
TST-0184,21.6512,Valid
TST-0107,53.9443,Valid
TST-0026,41.8921,Valid
TST-0164,43.1188,Valid
TST-0217,32.8915,Valid
TST-0332,30.9454,Invalid
TST-0279,24.0358,Valid
TST-0243,18.5018,Valid
TST-0163,20.2125,Valid
TST-0131,29.2578,Valid
TST-0070,16.2395,Valid
TST-0137,18.5486,Valid
TST-0210,30.1369,Valid
TST-0288,21.0658,Valid
TST-0248,18.0463,Valid
TST-0277,22.6081,Invalid
TST-0215,21.6543,Valid
TST-0138,16.3815,Valid
TST-0228,17.711,Valid
TST-0252,49.0325,Valid
TST-0205,30.207,Valid
TST-0348,22.6935,Valid
TST-0177,22.6018,Valid
TST-0267,38.3613,Valid
TST-0308,23.2718,Valid
TST-0087,40.9958,Invalid
TST-0117,16.9642,Valid
TST-0014,18.177,Valid
TST-0154,25.0799,Valid
TST-0207,47.174,Valid
TST-0187,21.6239,Valid
TST-0236,21.4547,Valid
TST-0283,39.7505,Invalid
TST-0089,18.1755,Valid
TST-0202,23.4795,Valid
TST-0160,18.6068,Valid
TST-0036,25.7906,Valid
TST-0275,48.5072,Valid
TST-0023,33.8371,Valid
TST-0091,43.2548,Valid
TST-0151,43.7514,Valid
TST-0310,22.0515,Valid
TST-0239,15.1886,Valid
TST-0331,33.1214,Valid
TST-0316,13.4682,Invalid
TST-0338,14.1939,Valid
TST-0019,20.2597,Valid
TST-0168,13.8087,Invalid
TST-0007,18.4383,Valid
TST-0211,31.7262,Valid
TST-0016,37.158,Valid
TST-0027,19.4838,Invalid
TST-0031,16.5805,Invalid
TST-0249,28.6165,Valid
TST-0011,16.1805,Valid
TST-0080,22.884,Invalid
TST-0121,16.3679,Valid
TST-0266,19.4977,Valid
TST-0198,21.8885,Valid
TST-0067,30.8146,Valid
TST-0102,21.5944,Valid
TST-0005,36.9989,Valid
TST-0003,29.9816,Valid
TST-0132,46.0431,Valid
TST-0029,26.389,Valid
TST-0221,28.2806,Valid
TST-0099,17.7959,Valid
TST-0062,17.1212,Valid
TST-0095,26.9854,Valid
TST-0126,17.0097,Valid
TST-0034,49.8736,Valid
TST-0103,15.9493,Valid
TST-0245,23.2994,Valid
TST-0058,49.6246,Valid
TST-0065,26.1796,Valid
TST-0086,19.649,Valid
TST-0342,20.2866,Valid
TST-0335,17.9839,Valid
TST-0180,18.5719,Invalid
TST-0294,24.0558,Invalid
TST-0072,20.6962,Valid
TST-0315,47.4295,Invalid
TST-0182,46.1673,Valid
TST-0200,20.8622,Valid
TST-0030,16.5705,Valid
TST-0193,16.8771,Valid
TST-0231,21.0331,Valid
TST-0128,25.8212,Valid
TST-0165,28.3678,Invalid
