Test_ID,Predicted_Reference_Parameter,Valid_Invalid
TST-0278,34.0491,Invalid
TST-0006,19.0286,Valid
TST-0047,56.3528,Valid
TST-0311,25.5277,Valid
TST-0264,18.3717,Invalid
TST-0169,19.8829,Valid
TST-0269,18.3965,Valid
TST-0178,14.5766,Invalid
TST-0206,31.9725,Valid
TST-0038,18.4671,Valid
TST-0213,14.5832,Invalid
TST-0309,16.3065,Valid
TST-0059,32.3969,Valid
TST-0159,18.4769,Valid
TST-0235,19.7827,Valid
TST-0230,20.961,Valid
TST-0323,37.8694,Valid
TST-0262,18.6478,Valid
TST-0274,13.9404,Valid
TST-0214,48.3873,Valid
TST-0024,39.9908,Valid
TST-0234,17.6812,Valid
TST-0333,22.1059,Valid
TST-0060,20.1316,Valid
TST-0226,36.2943,Valid
TST-0197,16.0727,Valid
TST-0346,42.4141,Valid
TST-0192,25.4637,Valid
TST-0141,29.5255,Valid
TST-0222,37.9456,Invalid
TST-0232,19.7534,Valid
TST-0085,23.5063,Valid
TST-0237,32.7971,Valid
TST-0001,40.997,Valid
TST-0069,16.3485,Valid
TST-0272,22.8107,Valid
TST-0343,33.3755,Valid
TST-0320,26.2022,Valid
TST-0008,30.9937,Invalid
TST-0144,23.3185,Valid
TST-0184,21.7023,Valid
TST-0107,55.6475,Valid
TST-0026,42.1643,Valid
TST-0164,42.8922,Valid
TST-0217,32.43,Valid
TST-0332,30.8461,Invalid
TST-0279,23.6371,Valid
TST-0243,18.5067,Valid
TST-0163,20.2108,Valid
TST-0131,28.5572,Valid
TST-0070,16.2393,Valid
TST-0137,18.6778,Valid
TST-0210,30.0142,Valid
TST-0288,20.9781,Valid
TST-0248,18.1671,Valid
TST-0277,22.2309,Invalid
TST-0215,21.3735,Valid
TST-0138,16.2891,Valid
TST-0228,17.7571,Valid
TST-0252,48.8232,Valid
TST-0205,30.4701,Valid
TST-0348,22.4885,Valid
TST-0177,22.5653,Valid
TST-0267,38.2619,Valid
TST-0308,23.1169,Valid
TST-0087,41.2422,Invalid
TST-0117,16.939,Valid
TST-0014,18.1442,Valid
TST-0154,25.2399,Valid
TST-0207,46.642,Valid
TST-0187,21.4599,Valid
TST-0236,21.3012,Valid
TST-0283,39.8053,Invalid
TST-0089,18.1267,Valid
TST-0202,23.5674,Valid
TST-0160,18.7522,Valid
TST-0036,26.0114,Valid
TST-0275,48.4453,Valid
TST-0023,34.2318,Valid
TST-0091,43.0372,Valid
TST-0151,43.877,Valid
TST-0310,22.4138,Valid
TST-0239,15.0917,Valid
TST-0331,33.2485,Valid
TST-0316,13.5118,Invalid
TST-0338,14.2404,Valid
TST-0019,20.4212,Valid
TST-0168,13.7895,Invalid
TST-0007,18.4634,Valid
TST-0211,31.3211,Valid
TST-0016,36.948,Valid
TST-0027,19.3865,Invalid
TST-0031,16.7023,Invalid
TST-0249,28.5467,Valid
TST-0011,16.2546,Valid
TST-0080,22.801,Invalid
TST-0121,16.4011,Valid
TST-0266,19.4656,Valid
TST-0198,21.8664,Valid
TST-0067,30.6916,Valid
TST-0102,21.6865,Valid
TST-0005,36.9662,Valid
TST-0003,28.8865,Valid
TST-0132,45.7257,Valid
TST-0029,26.4686,Valid
TST-0221,29.1546,Valid
TST-0099,17.7773,Valid
TST-0062,17.0156,Valid
TST-0095,26.6121,Valid
TST-0126,16.985,Valid
TST-0034,50.1144,Valid
TST-0103,15.9499,Valid
TST-0245,23.1778,Valid
TST-0058,49.8252,Valid
TST-0065,26.2685,Valid
TST-0086,19.5869,Valid
TST-0342,20.3062,Valid
TST-0335,18.0812,Valid
TST-0180,18.6448,Invalid
TST-0294,23.4765,Invalid
TST-0072,20.6971,Valid
TST-0315,47.2311,Invalid
TST-0182,46.5088,Valid
TST-0200,20.669,Valid
TST-0030,16.5154,Valid
TST-0193,16.7901,Valid
TST-0231,21.0739,Valid
TST-0128,25.8557,Valid
TST-0165,28.4772,Invalid
TST-0074,13.7437,Valid
TST-0004,34.0152,Valid
TST-0157,24.0278,Valid
TST-0143,27.3755,Valid
TST-0179,40.9138,Valid
TST-0075,27.447,Valid
TST-0233,24.9975,Valid
TST-0111,26.189,Valid
TST-0350,21.2946,Valid
TST-0122,17.1681,Valid
TST-0076,22.5141,Valid
TST-0304,25.8199,Valid
TST-0190,29.7385,Valid
TST-0061,16.7608,Valid
TST-0009,27.7009,Valid
TST-0194,43.6604,Valid
TST-0156,15.3069,Invalid
TST-0088,30.974,Valid
TST-0256,47.3112,Valid
TST-0329,16.3863,Valid
TST-0219,41.7212,Valid
TST-0306,13.7577,Valid
TST-0324,22.2757,Valid
TST-0113,21.7849,Valid
TST-0135,16.0214,Valid
TST-0339,17.5043,Valid
TST-0260,22.7351,Valid
TST-0195,27.2125,Valid
TST-0286,27.8081,Valid
TST-0015,25.2501,Valid
TST-0263,19.2116,Valid
TST-0147,24.5785,Valid
TST-0002,24.2473,Invalid
TST-0114,46.4417,Valid
TST-0271,28.663,Invalid
TST-0223,22.2619,Valid
TST-0344,16.0395,Valid
TST-0183,30.5627,Valid
TST-0327,34.1407,Valid
TST-0250,19.8353,Invalid
TST-0185,37.8369,Valid
TST-0242,21.3731,Valid
TST-0158,12.9483,Valid
TST-0078,43.7254,Valid
TST-0120,22.9605,Invalid
TST-0093,30.0438,Valid
TST-0051,15.7033,Valid
TST-0010,15.9555,Valid
TST-0013,51.8328,Valid
TST-0049,14.7717,Valid
TST-0041,17.6652,Valid
TST-0055,32.0359,Valid
TST-0012,20.6609,Valid
TST-0127,49.0341,Valid
TST-0225,26.5131,Valid
TST-0050,24.0507,Valid
TST-0172,38.5593,Invalid
TST-0079,32.0375,Valid
TST-0046,21.9602,Valid
TST-0325,18.2674,Valid
TST-0280,20.2347,Valid
TST-0140,15.3479,Valid
TST-0244,47.2311,Invalid
TST-0203,21.4931,Valid
TST-0238,18.6285,Valid
TST-0092,29.2503,Valid
TST-0307,14.1075,Valid
TST-0176,29.3349,Valid
TST-0115,17.633,Invalid
TST-0028,19.804,Invalid
TST-0317,19.1294,Valid
TST-0251,38.5901,Valid
TST-0301,14.8248,Valid
TST-0116,36.5262,Valid
TST-0056,24.3662,Valid
TST-0166,28.229,Valid
TST-0247,33.3507,Valid
